query_id	sql_tag	result_json	summary
q_001	SQL	[{"total_gmv": "276270.98"}]	2026-05-11~17 总 GMV ≈ ¥276,271(snapshot 真值)
q_002	SQL	[{"streamer": "小张", "orders": 2320, "gmv": "501251.07"}, {"streamer": "小李", "orders": 725, "gmv": "160086.55"}]	2026-05-01~17 小张 2,320 单 / ¥501,251;小李 725 单 / ¥160,087;订单占比 ~74/26(非 70/30,周末 1.3-1.5x + 小李集中工作日的真实
q_003	SQL	[{"sub_category": "上衣", "aov": 227.28, "orders": 1419}, {"sub_category": "外套", "aov": 226.86, "orders": 900}, {"sub_category": "连衣裙", "aov": 211.23, "orders": 2102}, {"sub_category": "裤装", "aov": 194.11, "orders": 852}]	客单价 top:上衣 ¥227.28(1,419 单)≈ 外套 ¥226.86(900 单),接近平局;连衣裙 ¥211.23 / 裤装(snapshot 中);理想答案『上衣最高』,稳健答案会指出『
q_004	SQL	[{"traffic_source": "付费投流", "visitors": 6370, "orders": 32, "conv_pct": 0.5}, {"traffic_source": "私域", "visitors": 1176, "orders": 35, "conv_pct": 2.98}, {"traffic_source": "关注", "visitors": 490, "orders": 17, "conv_pct": 3.47}, {"traffic_source": "自然", "visitors": 1764, "orders": 97, "conv_pct": 5.5}]	2026-04-17 按 traffic_source 转化率(升序):付费投流 0.50%(visitors 6,370 / 32 单)< 私域 2.98% < 关注 3.47% < 自然 5.50
q_005	SQL	[{"uv": 3221, "orders": 36, "gmv": "11358.17", "pc1_share_pct": 11.11}]	Case 1: UV ~3,221 正常 / 转化率 4.2% → ~1.12% / 毛 GMV ~¥11,358 (vs 基线日均 ~¥33,359) / P_C1 (¥899 高端真丝连衣裙, t
q_006	SQL	[{"uv_total": 9800, "paid_uv_share_pct": 65.0, "overall_conv_pct": 1.85}]	Case 2: UV ~9,800 / 付费投流 UV 占比 ~65% (基线 15%) / 自然渠道转化 ~5.5% vs 付费投流 ~0.5% / 整体转化率 4.2% → ~1.85%
q_007	SQL_A	[{"date": "2026-04-24", "orders": 135, "refund_pct": 6.67}, {"date": "2026-04-25", "orders": 179, "refund_pct": 11.17}, {"date": "2026-04-26", "orders": 267, "refund_pct": 17.23}, {"date": "2026-04-27", "orders": 126, "refund_pct": 19.84}, {"date": "2026-04-28", "orders": 96, "refund_pct": 28.13}, {"date": "2026-04-29", "orders": 187, "refund_pct": 28.34}]	Case 3: 涉事 SKU P_C3 (2026-04-22 新上的网红同款针织开衫) / P_C3 退款率 44.8% / 色差占退款原因 ~89% / 全店逐日退款率 6.7% → 11.2% 
q_007	SQL_B	[{"product_id": "P_C3", "total": 298, "refunds": 130, "refund_pct": 43.62, "secha_pct": 89.23}]	Case 3: 涉事 SKU P_C3 (2026-04-22 新上的网红同款针织开衫) / P_C3 退款率 44.8% / 色差占退款原因 ~89% / 全店逐日退款率 6.7% → 11.2% 
q_008	SQL_A	[{"uv": 3221, "orders": 36, "gmv": "11358.17", "pc1_share_pct": 11.11}]	04-02 = 人货错配主导(UV 正常 ~3,221, 转化率断崖 4.2%→1.12%, P_C1 高端款错配主力客群);04-17 = 流量结构主导(UV 暴涨 ~9,800, 付费投流占比 6
q_008	SQL_B	[{"uv_total": 9800, "paid_uv_share_pct": 65.0, "overall_conv_pct": 1.85}]	04-02 = 人货错配主导(UV 正常 ~3,221, 转化率断崖 4.2%→1.12%, P_C1 高端款错配主力客群);04-17 = 流量结构主导(UV 暴涨 ~9,800, 付费投流占比 6
