product_id,name,sub_category,price,cost,price_band,target_audience,tags,launch_date,stock_quantity
P001,衬衫连衣裙001,连衣裙,188.0,79.65,mid,student,"厚实,约会,网红同款",2025-10-17,163
P002,法式方领连衣裙002,连衣裙,193.0,80.53,mid,young_pro,"小个子,新款,显瘦",2025-11-26,257
P003,衬衫连衣裙003,连衣裙,275.0,105.2,mid_high,mature,"百搭,气质,通勤",2025-10-26,60
P004,针织背心裙004,连衣裙,106.0,45.51,low,mature,"新款,约会,显瘦",2025-09-24,82
P005,Polo领针织裙005,连衣裙,138.0,58.01,mid,student,"学生党,显瘦,约会",2025-11-01,251
P006,碎花茶歇连衣裙006,连衣裙,143.0,60.33,mid,student,"厚实,气质,约会",2025-10-08,226
P007,Polo领针织裙007,连衣裙,245.0,100.02,mid_high,student,"小个子,网红同款,新款",2026-03-19,242
P008,牛仔吊带裙008,连衣裙,255.0,103.81,mid_high,student,"约会,学生党,通勤",2026-03-13,264
P009,雪纺长裙009,连衣裙,125.0,46.72,mid,student,"厚实,新款,约会",2026-01-11,152
P010,牛仔吊带裙010,连衣裙,217.0,74.37,mid_high,student,"网红同款,厚实,通勤",2025-10-23,88
P011,针织背心裙011,连衣裙,244.0,94.12,mid_high,student,"显瘦,百搭,约会",2025-11-04,291
P012,Polo领针织裙012,连衣裙,269.0,100.04,mid_high,mature,"新款,约会,气质",2025-12-23,74
P013,法式方领连衣裙013,连衣裙,245.0,89.25,mid_high,student,"约会,百搭,显瘦",2025-11-13,230
P014,牛仔吊带裙014,连衣裙,170.0,69.72,mid,young_pro,"通勤,气质,显瘦",2026-04-11,132
P015,美式复古Polo015,上衣,83.0,34.07,low,student,"气质,百搭,小个子",2025-09-12,55
P016,冰丝针织衫016,上衣,406.0,176.17,high,student,"百搭,通勤,小个子",2025-10-27,168
P017,蕾丝拼接上衣017,上衣,146.0,58.76,mid,student,"小个子,网红同款,显瘦",2026-03-14,189
P018,蕾丝拼接上衣018,上衣,106.0,39.62,low,young_pro,"学生党,显瘦,气质",2025-09-19,107
P019,泡泡袖衬衫019,上衣,101.0,38.84,low,young_pro,"气质,小个子,通勤",2025-09-16,179
P020,条纹长袖T020,上衣,194.0,69.79,mid,student,"通勤,小个子,显瘦",2025-09-15,273
P021,泡泡袖衬衫021,上衣,251.0,94.86,mid_high,young_pro,"显瘦,约会,厚实",2025-12-02,115
P022,宽松卫衣022,上衣,353.0,125.22,high,young_pro,"网红同款,学生党,约会",2026-04-10,99
P023,纯棉短袖T恤023,上衣,181.0,82.65,mid,young_pro,"学生党,厚实,通勤",2026-04-23,220
P024,蕾丝拼接上衣024,上衣,99.0,41.91,low,young_pro,"显瘦,气质,厚实",2025-09-29,82
P025,修身打底衫025,上衣,116.0,44.97,low,student,"网红同款,小个子,学生党",2025-11-18,282
P026,冰丝针织衫026,上衣,101.0,42.02,low,student,"通勤,显瘦,小个子",2026-04-10,284
P027,蕾丝拼接上衣027,上衣,246.0,106.81,mid_high,student,"约会,新款,学生党",2026-03-09,183
P028,冰丝针织衫028,上衣,286.0,117.94,mid_high,student,"网红同款,显瘦,厚实",2025-09-21,163
P029,高腰阔腿裤029,裤装,139.0,59.7,mid,young_pro,"网红同款,厚实,百搭",2026-04-19,256
P030,直筒牛仔裤030,裤装,131.0,59.02,mid,student,"网红同款,通勤,百搭",2025-11-09,63
P031,工装休闲裤031,裤装,81.0,33.29,low,young_pro,"约会,新款,厚实",2025-10-05,263
P032,西装直筒裤032,裤装,86.0,31.68,low,student,"学生党,厚实,显瘦",2025-09-18,181
P033,冰丝休闲短裤033,裤装,112.0,38.78,low,mature,"小个子,气质,学生党",2026-04-16,251
P034,运动束脚裤034,裤装,264.0,114.44,mid_high,student,"约会,厚实,小个子",2025-12-14,146
P035,直筒牛仔裤035,裤装,226.0,80.63,mid_high,young_pro,"学生党,网红同款,百搭",2025-11-05,132
P036,西装直筒裤036,裤装,174.0,65.36,mid,mature,"气质,新款,学生党",2025-10-01,262
P037,微喇牛仔裤037,裤装,280.0,113.1,mid_high,young_pro,"显瘦,通勤,网红同款",2026-01-04,266
P038,垂感烟管裤038,裤装,104.0,36.55,low,young_pro,"通勤,网红同款,厚实",2026-03-25,251
P039,运动束脚裤039,裤装,182.0,79.25,mid,mature,"网红同款,显瘦,小个子",2025-10-19,92
P040,冰丝休闲短裤040,裤装,165.0,65.33,mid,young_pro,"学生党,新款,小个子",2025-09-22,283
P041,冰丝休闲短裤041,裤装,84.0,29.44,low,young_pro,"通勤,约会,气质",2025-09-21,275
P042,直筒牛仔裤042,裤装,227.0,87.1,mid_high,student,"显瘦,网红同款,小个子",2026-04-25,146
P043,西装直筒裤043,裤装,255.0,115.35,mid_high,young_pro,"网红同款,小个子,显瘦",2026-01-09,288
P044,风衣中长款044,外套,113.0,47.06,low,student,"新款,厚实,显瘦",2026-01-24,257
P045,棒球服外套045,外套,156.0,61.32,mid,student,"显瘦,新款,百搭",2025-10-17,270
P046,风衣中长款046,外套,186.0,65.62,mid,mature,"新款,显瘦,气质",2026-01-09,57
P047,风衣中长款047,外套,131.0,56.75,mid,student,"显瘦,厚实,约会",2025-12-19,62
P048,棒球服外套048,外套,279.0,102.85,mid_high,young_pro,"约会,小个子,通勤",2026-04-04,225
P049,风衣中长款049,外套,204.0,74.3,mid_high,student,"网红同款,新款,显瘦",2025-11-14,88
P050,防晒皮肤衣050,外套,219.0,81.58,mid_high,young_pro,"厚实,新款,显瘦",2025-10-16,60
P051,薄款羽绒服051,外套,270.0,97.41,mid_high,student,"小个子,新款,网红同款",2025-12-07,209
P052,风衣中长款052,外套,131.0,59.41,mid,student,"网红同款,学生党,新款",2025-11-14,87
P053,牛仔外套053,外套,152.0,60.33,mid,student,"显瘦,气质,学生党",2026-04-24,203
P054,牛仔外套054,外套,241.0,93.76,mid_high,student,"学生党,约会,显瘦",2025-11-05,169
P055,风衣中长款055,外套,165.0,67.3,mid,young_pro,"学生党,新款,厚实",2025-11-07,187
P056,薄款羽绒服056,外套,169.0,64.77,mid,young_pro,"通勤,厚实,小个子",2025-11-11,180
P057,短款小西装057,外套,231.0,101.75,mid_high,young_pro,"约会,小个子,气质",2026-02-20,120
P058,棒球服外套058,外套,134.0,50.61,mid,young_pro,"网红同款,新款,约会",2026-03-19,88
P_C1,高端真丝醋酸连衣裙,连衣裙,899.0,362.0,high,mature,"高端,真丝,气质,通勤",2025-12-10,72
P_C3,网红同款针织开衫,上衣,159.0,54.0,mid,young_pro,"网红同款,慵懒风,显瘦",2026-04-22,244
